All,全部
"Please enter a message.",请输入一条消息。
"Please specify at least one recipient.",请指定至少一个收件人。
"Please enter a correct recipient email address.",请输入一个正确的收件人电子邮件地址。
"No more than %1 emails can be sent at a time.","不超过 %1 的电子邮件可以发送一次。"
"Please define a correct product instance.",请定义一个正确的产品实例。
"Invalid Sender Information",无效发件人信息
"Please define the correct sender information.",请定义正确的发件人信息。
"Cookie (unsafe)","Cookie (不安全)"
"Remove Recipent",删除语气
"Welcome, %name",欢迎您，:name
"%sender_name wants to share this product with you:","%sender_name 想要与你分享这种产品:"
"Select Email Template",选择电子邮件模板
"Allow for Guests",允许为客人
"Max Recipients",最大收件人
"Max Products Sent in 1 Hour","在 1 小时内发送的最大产品"
"Limit Sending By",限制通过发送
Assign,分配
of,为
Assigned,分配
"New Shipment for Order #%1","新的出运订单 #%1"
"Submit Shipment",提交装运
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.",您试图添加一些产品的数量不匹配被运的数量。
"The value that you entered is not valid.",您输入的值不是有效的。
"Add Tracking Number",添加跟踪号码
"Send Tracking Information",发送跟踪信息
"Are you sure you want to send a Shipment email to customer?",你确定你想要向客户发送装运电子邮件?
"the shipment email was sent",装运电子邮件已发送
"the shipment email is not sent",装运电子邮件不会发送
"Shipment #%1 | %3 (%2)","装运 #%1 |%3 (%2)"
"Create Shipping Label...",创建发货标签...
"About Your Shipment",关于您的货件
"We can't initialize shipment for adding tracking number.",我们不能初始化装运添加跟踪号码。
"Cannot add tracking number.",不能添加跟踪号码。
"You created the shipping label.",您创建的航运标签。
"An error occurred while creating shipping label.",创建航运标签时出错。
"Cannot send shipment information.",不能发送装运信息。
"There are no shipping labels related to selected orders.",没有有关所选订单的发货标签。
"New Shipment",新的装运
"We don't recognize or support the file extension in this shipment: %1.","我们无法识别或不支持的文件扩展名，这批货: %1。"
"We can't initialize shipment for delete tracking number.",我们不能初始化装运删除运单号。
"We can't delete tracking number.",我们不能删除跟踪号码。
"We can't save the shipment right now.",我们现在无法保存发货信息。
"The shipment has been created.",已创建装运。
"Cannot save shipment.",无法保存装运。
"Cannot do shipment for the order separately from invoice.",发票不能做为订单装运。
"Cannot do shipment for the order.",不能做为订单装运。
"There are no shipping labels related to selected shipments.",有有关选定货物没有运输标签。
"Sorry, but we can't deliver to the destination country with this shipping module.",抱歉，但我们不能提供给这个航运模块的目的地国家。
"The shipping module is not available.",航运模块不可用。
"This shipping method is not available. Please specify the zip code.","这种运输方法不可用。请指定 zip 代码。"
Development,发展
Live,生活
"Divide to equal weight (one request)","划分为相等重量 (一个请求)"
"Use origin weight (few requests)","使用来源重量 (几个请求)"
"Signature Confirmation",签名确认
Contents,内容
Girth,长度
"Shipping labels is not available.",发货标签不可用。
"Response info is not exist.","不存在响应信息。
"
"Per Package",每个包
"Tracking information is unavailable.",跟踪信息将不可用。
"Items to Ship",船舶的项目
"Qty to Ship",对船舶的数量
"Shipment Total",出货总数
"Shipment Options",装运选项
"Email Copy of Shipment",电子邮件拷贝的装运
"Invalid value(s) for Qty to Ship",船舶数量为无效值
"Add Selected Product(s) to Package",向包中添加所选的产品
"Add Products to Package",商品添加至目录？
"USPS domestic shipments don't use package types.",美国邮政国内发货不使用封装类型。
in,在
lb,磅
kg,千克
"Delete Package",删除包
Explanation,解释
"Shipping &amp; Handling Information",运费和手续费信息
"Track Order",跟踪订单
"Items Shipped",物品装运
"Shipment History",装运的历史
"Print All Shipments",打印所有出货
"Shipment #",送货单号
"Print Shipment",打印装运
"Tracking Number(s):",跟踪号码:
"Order tracking",订单跟踪
"Tracking Number:",追踪号码
Carrier:,运营商
"Tracking information is currently not available. Please ",跟踪信息目前不可用。请
"contact us",联系我们
" for more information or ",有关详细信息或
"email us at ",电子邮件:
Info:,信息:
Track:,追踪
". ':'",.':'
"Delivered on:",发表:
"There is no tracking available for this shipment.",这批货尚没有跟踪。
"There is no tracking available.",没有跟踪是可用的。
"Track history",跟踪历史记录
"Local Time",当地时间
"See our Shipping Policy",看到我们航运政策
"Shipping Settings Section",运输方法部分
"Shipping Policy Parameters Section",航运政策参数部分
"Shipping Settings",传送设置
Origin,起源
"Shipping Policy Parameters",航运政策参数
"Apply custom Shipping Policy",应用自定义的航运政策
"Shipping Policy",航运政策
"Track your order",跟踪您的订单
"Track All Shipments",跟踪所有发货
"You sent the shipment.",你发送的装运。
"In Review",审查中
Unrequested,未请求
"This order already has associated case entity",该订单已经有关联的案例实体。
"The case entity should not be empty.",案例实体不应为空。
"Cannot update Case entity.",无法更新案例实体。
"The ""%1"" should not be empty.","""%1""不应为空。"
"Case entity not found.",找不到的案例实体。
"Case Update: New score for the order is %1. Previous score was %2.","案例更新：订单的新分数为% 1。以前的分数是% 2。"
"Awaiting the Signifyd guarantee disposition.","等待 Signifyd 保证的处置。"
"Only single entrance of ""%1"" node is required.","只需要 ""%1"" 节点的单个入口。"
"Not empty value for ""%1"" node is required.","""%1"" 节点不能设置空值。"
"%1 must implement %2","%1 必须实现%2"
"Cannot generate message.",无法生成消息。
"Message is generated.",生成消息。
"Case with the same order id already exists.","具有相同顺序 id 的用例已存在。"
"Fraud Protection Information",欺诈保护信息
"Signifyd Guarantee Decision","Signifyd 保证的决策"
"Fraud Protection Section",欺诈保护科
"Fraud Protection",防欺诈保护
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Signifyd 担保欺诈保护将保护您的店铺免受欺诈 。"
"API Key","API 密钥"
"Save & Generate","保存 & 生成"
"Edit Sitemap",编辑站点地图
"New Sitemap",新网站地图
"Sitemap Information",网站地图信息
Sitemap,网站地图
Filename,文件名
"example: sitemap.xml","示例: sitemap.xml"
"Add Sitemap",添加网站地图
"You deleted the sitemap.",你删除的站点地图。
"We can't find a sitemap to delete.",我们找不到要删除一个网站地图。
"This sitemap no longer exists.",这个网站地图不再存在。
"Site Map",站点地图
"New Site Map",新站点图
"The sitemap ""%1"" has been generated.","已生成网站地图""%1""。"
"We can't generate the sitemap right now.",我们现在无法生成站点地图。
"We can't find a sitemap to generate.",我们找不到生成站点地图。
"You saved the sitemap.",你保存的网站地图。
"The priority must be between 0 and 1.","优先级必须介于 0 和 1 之间。"
Yearly,每年
"File handler unreachable",文件处理程序无法访问
"Please define a correct path.",请定义正确的路径。
"Please create the specified folder ""%1"" before saving the sitemap.","请保存站点地图之前创建指定的文件夹""%1""。"
"Please make sure that ""%1"" is writable by the web-server.","请确保“% 1”是由web服务器写入的。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","请在文件名中使用唯一的字母 (a 到 z 或 A 到 Z)，数字 (0-9) 或下划线 (_)。允许不能有空格或其他字符。"
"Base Only",基地只有
"Sitemap generate Warnings",网站地图生成警告
"Sitemap Generation Warnings",网站地图生成警告
"XML Sitemap Section","XML 网站地图节"
